0,# 0 0 target:0 c+:300 c-:585 score:321.97925485679326 score+:1097.5039162347493 score-:2192.2333827478465 nb:4 =l_0c_7 l_0c_0 l_0c_11 l_0c_9 
0,# 0 0 target:0 c+:300 c-:585 score:321.97925485679326 score+:1097.5039162347493 score-:2192.2333827478465 nb:4 =l_0c_7 l_0c_0 l_0c_11 l_0c_9 
1,# 1 1 target:0 c+:948 c-:1354 score:313.50835932680036 score+:4944.079077782858 score-:7138.63759307046 nb:10 =l_0c_19 l_0c_18 l_0c_6 l_0c_11 l_0c_5 l_0c_2 l_0c_1 l_0c_17 l_0c_9 l_0c_13 
2,# 2 2 target:0 c+:349 c-:495 score:145.49572375102133 score+:1744.740096932747 score-:2501.317860438058 nb:7 =l_0c_14 l_0c_7 l_0c_13 l_0c_6 l_0c_8 l_0c_10 l_0c_2 
3,# 3 3 target:0 c+:1940 c-:1975 score:97.99586076202695 score+:12692.593780136172 score-:13260.969772555929 nb:8 =l_0c_4 l_0c_2 l_0c_3 l_0c_0 l_0c_11 l_0c_9 l_0c_1 l_0c_5 
4,# 4 4 target:0 c+:1072 c-:1106 score:51.62771432205591 score+:6136.557810843901 score-:6405.0219253185915 nb:7 =l_0c_3 l_0c_0 l_0c_10 l_0c_2 l_0c_16 l_0c_12 l_0c_18 
5,# 5 5 target:0 c+:2008 c-:1971 score:47.85433840387782 score+:5314.561486866154 score-:5534.691443523991 nb:6 =l_0c_8 l_0c_10 l_0c_16 l_0c_12 l_0c_5 l_0c_18 
6,# 6 6 target:0 c+:172 c-:306 score:47.43498755489237 score+:589.1731191425678 score-:835.835054428008 nb:7 =l_0c_0 l_0c_17 l_0c_18 l_0c_5 l_0c_6 l_0c_2 l_0c_16 
7,# 7 7 target:0 c+:99 c-:150 score:32.211318597373904 score+:460.3676708815642 score-:627.8665275879085 nb:7 =l_0c_3 l_0c_0 l_0c_13 l_0c_6 l_0c_2 l_0c_1 l_0c_5 
8,# 8 8 target:0 c+:125 c-:235 score:28.24293771918677 score+:384.0420549235109 score-:480.06804316874593 nb:4 =l_0c_4 l_0c_2 l_0c_7 l_0c_1 
9,# 9 9 target:0 c+:19 c-:61 score:18.480244462267752 score+:103.20492309253684 score-:188.2140476189685 nb:6 =l_0c_7 l_0c_0 l_0c_8 l_0c_1 l_0c_12 l_0c_2 
10,# 10 0 target:1 c+:569 c-:249 score:414.40268170125455 score+:4301.567949293685 score-:1898.0323954264093 nb:8 =l_0c_14 l_0c_3 l_0c_7 l_0c_6 l_0c_0 l_0c_2 l_0c_8 l_0c_10 
11,# 11 1 target:1 c+:803 c-:512 score:265.6828343257123 score+:2028.7195210426808 score-:1284.8075849306863 nb:3 =l_0c_15 l_0c_8 l_0c_2 
12,# 12 2 target:1 c+:2003 c-:1754 score:177.2605270535082 score+:13317.231482881438 score-:11757.338844810565 nb:13 =l_0c_15 l_0c_8 l_0c_14 l_0c_18 l_0c_16 l_0c_10 l_0c_7 l_0c_19 l_0c_6 l_0c_13 l_0c_17 l_0c_1 l_0c_5 
13,# 13 3 target:1 c+:849 c-:659 score:162.02349553197809 score+:2949.583252601324 score-:2204.275173154225 nb:6 =l_0c_7 l_0c_9 l_0c_8 l_0c_10 l_0c_12 l_0c_1 
14,# 14 4 target:1 c+:1222 c-:1093 score:114.78650965987595 score+:8440.381537937335 score-:7568.004064522278 nb:11 =l_0c_4 l_0c_2 l_0c_3 l_0c_0 l_0c_11 l_0c_9 l_0c_1 l_0c_5 l_0c_16 l_0c_18 l_0c_6 
15,# 15 5 target:1 c+:649 c-:387 score:98.51690048802135 score+:2740.7666229140536 score-:2110.258459790717 nb:9 =l_0c_14 l_0c_19 l_0c_18 l_0c_6 l_0c_16 l_0c_10 l_0c_8 l_0c_2 l_0c_12 
16,# 16 6 target:1 c+:229 c-:126 score:27.377912348856654 score+:949.558175269211 score-:823.6197784644704 nb:6 =l_0c_15 l_0c_8 l_0c_7 l_0c_11 l_0c_1 l_0c_9 
17,# 17 7 target:1 c+:20 c-:0 score:24.492609137690867 score+:156.7526984812215 score-:0 nb:9 =l_0c_4 l_0c_2 l_0c_14 l_0c_6 l_0c_0 l_0c_7 l_0c_3 l_0c_12 l_0c_5 
18,# 18 8 target:1 c+:106 c-:92 score:13.9763697835633 score+:805.8006960387698 score-:699.5802856836888 nb:11 =l_0c_4 l_0c_2 l_0c_3 l_0c_0 l_0c_11 l_0c_9 l_0c_17 l_0c_18 l_0c_5 l_0c_6 l_0c_1 
19,# 19 9 target:1 c+:199 c-:51 score:12.973483221610344 score+:479.82080229120305 score-:389.00641973993066 nb:10 =l_0c_15 l_0c_8 l_0c_14 l_0c_18 l_0c_16 l_0c_10 l_0c_7 l_0c_9 l_0c_12 l_0c_1 
20,# 20 0 target:0 c+:438 c-:864 score:513.0083230364714 score+:2617.736832124563 score-:5285.380111914214 nb:7 =l_1c_5 l_1c_6 l_1c_18 l_1c_15 l_1c_8 l_1c_10 l_1c_3 
21,# 21 1 target:0 c+:828 c-:1195 score:408.11030851337557 score+:3535.898059247171 score-:5168.3392933006735 nb:5 =l_1c_1 l_1c_19 l_1c_8 l_1c_16 l_1c_12 
22,# 22 2 target:0 c+:486 c-:693 score:227.33498151125463 score+:2010.7379572311263 score-:2920.077883276145 nb:5 =l_1c_9 l_1c_19 l_1c_4 l_1c_2 l_1c_15 
23,# 23 3 target:0 c+:462 c-:640 score:198.91487324333036 score+:2907.562572554903 score-:3941.9199134202204 nb:7 =l_1c_9 l_1c_1 l_1c_19 l_1c_17 l_1c_0 l_1c_16 l_1c_12 
24,# 24 4 target:0 c+:439 c-:589 score:130.85734269759223 score+:804.3983387913532 score-:1092.2844927260562 nb:2 =l_1c_9 l_1c_6 
25,# 25 5 target:0 c+:431 c-:538 score:104.54043654925778 score+:1526.7418227502446 score-:1944.9035689472757 nb:5 =l_1c_13 l_1c_18 l_1c_15 l_1c_17 l_1c_14 
26,# 26 6 target:0 c+:257 c-:623 score:98.33596903133733 score+:1020.5817380480049 score-:1472.9271955921567 nb:6 =l_1c_5 l_1c_4 l_1c_2 l_1c_15 l_1c_16 l_1c_12 
27,# 27 7 target:0 c+:401 c-:607 score:85.09665495858212 score+:3174.6053809710065 score-:3821.3399586562305 nb:11 =l_1c_6 l_1c_18 l_1c_15 l_1c_10 l_1c_3 l_1c_19 l_1c_12 l_1c_16 l_1c_2 l_1c_4 l_1c_8 
28,# 28 8 target:0 c+:37 c-:133 score:76.06091561064618 score+:135.4995717665101 score-:439.7432342090948 nb:5 =l_1c_5 l_1c_17 l_1c_0 l_1c_16 l_1c_15 
29,# 29 9 target:0 c+:19 c-:82 score:50.78120968476949 score+:83.75183975446392 score-:256.4079526826802 nb:4 =l_1c_5 l_1c_6 l_1c_19 l_1c_8 
30,# 30 0 target:1 c+:1996 c-:1329 score:1043.2118244666676 score+:14498.804146147271 score-:9700.0297536006 nb:6 =l_1c_7 l_1c_0 l_1c_9 l_1c_1 l_1c_17 l_1c_19 
31,# 31 1 target:1 c+:815 c-:359 score:703.9293781207768 score+:3993.718904372331 score-:1600.3590187616899 nb:4 =l_1c_5 l_1c_13 l_1c_0 l_1c_17 
32,# 32 2 target:1 c+:875 c-:400 score:420.7076860982369 score+:2941.034945176145 score-:1510.6288124421392 nb:4 =l_1c_13 l_1c_7 l_1c_0 l_1c_14 
33,# 33 3 target:1 c+:1299 c-:1008 score:381.63442672512156 score+:7845.382083092656 score-:6089.863720157097 nb:6 =l_1c_9 l_1c_1 l_1c_19 l_1c_17 l_1c_0 l_1c_12 
34,# 34 4 target:1 c+:1077 c-:932 score:104.33241954550078 score+:5993.320395525683 score-:5262.993458707178 nb:10 =l_1c_11 l_1c_10 l_1c_15 l_1c_4 l_1c_14 l_1c_3 l_1c_17 l_1c_8 l_1c_16 l_1c_0 
35,# 35 5 target:1 c+:2008 c-:1992 score:58.28908834411368 score+:2767.1964127782944 score-:2638.960418421244 nb:2 =l_1c_2 l_1c_15 
36,# 36 6 target:1 c+:120 c-:38 score:31.79721209238526 score+:328.9901762023533 score-:182.72300057738116 nb:6 =l_1c_11 l_1c_1 l_1c_0 l_1c_14 l_1c_4 l_1c_2 
37,# 37 7 target:1 c+:2007 c-:1992 score:24.62457616228494 score+:1874.0023041320983 score-:1834.6029822724427 nb:1 =l_1c_14 
38,# 38 8 target:1 c+:2008 c-:1992 score:23.948196499827077 score+:1529.2157674911339 score-:1490.8986530914106 nb:1 =l_1c_16 
39,# 39 9 target:1 c+:12 c-:2 score:8.835942785038831 score+:70.17289347602008 score-:13.62285965177157 nb:9 =l_1c_1 l_1c_6 l_1c_15 l_1c_16 l_1c_19 l_1c_17 l_1c_0 l_1c_8 l_1c_12 
40,# 40 0 target:0 c+:1833 c-:1846 score:149.40600810189994 score+:9819.176836636096 score-:11133.949707932814 nb:13 =l_2c_3 l_2c_13 l_2c_6 l_2c_0 l_2c_10 l_2c_12 l_2c_19 l_2c_16 l_2c_14 l_2c_15 l_2c_4 l_2c_17 l_2c_2 
41,# 41 0 target:1 c+:1982 c-:313 score:2174.9295832863418 score+:12119.915523018728 score-:2115.2394399015584 nb:6 =l_2c_9 l_2c_1 l_2c_7 l_2c_5 l_2c_11 l_2c_8 
42,# 42 1 target:1 c+:1541 c-:230 score:771.1487669826902 score+:3256.7604606709147 score-:634.8546529297674 nb:4 =l_2c_9 l_2c_18 l_2c_0 l_2c_19 
43,# 43 2 target:1 c+:1291 c-:267 score:721.7208281802724 score+:2651.1422933323865 score-:630.3239744276236 nb:3 =l_2c_1 l_2c_7 l_2c_6 
44,# 44 3 target:1 c+:1254 c-:291 score:584.0752701424213 score+:2670.758718940011 score-:684.9028004557782 nb:4 =l_2c_5 l_2c_11 l_2c_13 l_2c_12 
45,# 45 4 target:1 c+:1271 c-:236 score:443.5992249819715 score+:1702.3163269877066 score-:460.2384970381862 nb:3 =l_2c_1 l_2c_3 l_2c_10 
46,# 46 5 target:1 c+:1626 c-:428 score:404.90075721078716 score+:2414.042561999237 score-:1037.3799874825604 nb:4 =l_2c_7 l_2c_18 l_2c_17 l_2c_2 
47,# 47 6 target:1 c+:1158 c-:202 score:324.9045347301631 score+:989.1607950446843 score-:274.3708186383253 nb:2 =l_2c_9 l_2c_16 
48,# 48 7 target:1 c+:1023 c-:126 score:262.73068132031716 score+:1145.307541322478 score-:252.02322483339967 nb:4 =l_2c_7 l_2c_0 l_2c_14 l_2c_15 
49,# 49 8 target:1 c+:1244 c-:274 score:223.23502269018744 score+:1249.5984070098737 score-:624.5403434773488 nb:3 =l_2c_7 l_2c_11 l_2c_4 
50,# 50 9 target:1 c+:1345 c-:566 score:204.66975289738565 score+:2177.98013721205 score-:1359.3011256225075 nb:5 =l_2c_5 l_2c_8 l_2c_18 l_2c_4 l_2c_2 
51,# 51 0 target:0 c+:588 c-:699 score:201.31524806485186 score+:1624.132966885962 score-:1946.2373637897251 nb:1 =l_3c_3 
52,# 52 1 target:0 c+:1883 c-:1890 score:14.758616504118663 score+:2004.6578292652712 score-:2028.2716156718611 nb:1 =l_3c_1 
53,# 53 2 target:0 c+:7 c-:11 score:10.042990347056872 score+:27.512663536220238 score-:43.581448091511234 nb:1 =l_3c_5 
54,# 54 3 target:0 c+:2008 c-:1992 score:1.1300471669528633e-10 score+:1834.4937410973562 score-:1834.493741097537 nb:1 =l_3c_0 
55,# 55 0 target:1 c+:573 c-:250 score:627.9783181169506 score+:1793.5979079704823 score-:788.8325989833613 nb:1 =l_3c_4 
56,# 56 1 target:1 c+:228 c-:122 score:234.0033278532386 score+:812.8389707921409 score-:438.43364622695907 nb:1 =l_3c_6 
57,# 57 2 target:1 c+:102 c-:49 score:124.16305883039072 score+:385.18889908228175 score-:186.5280049536566 nb:1 =l_3c_7 
58,# 58 3 target:1 c+:1889 c-:1820 score:37.631980600737734 score+:2091.498829022392 score-:2031.2876600612115 nb:1 =l_3c_2 
59,# 59 4 target:1 c+:11 c-:7 score:9.687835482131476 score+:43.23418555691752 score-:27.733648785507153 nb:1 =l_3c_10 
