0,# 0 0 target:0 c+:312 c-:188 score:604.4666920854017 score+:822.0535236977574 score-:2151.8802462856415 nb:2 =l_0c_6 l_0c_17 
1,# 1 1 target:0 c+:131 c-:168 score:532.0470940661742 score+:766.2825626347812 score-:4171.383964658295 nb:9 =l_0c_5 l_0c_12 l_0c_17 l_0c_13 l_0c_14 l_0c_19 l_0c_10 l_0c_1 l_0c_8 
2,# 2 2 target:0 c+:455 c-:232 score:473.68539812762623 score+:2231.693247463834 score-:4694.85731772749 nb:7 =l_0c_17 l_0c_19 l_0c_14 l_0c_13 l_0c_10 l_0c_1 l_0c_8 
3,# 3 3 target:0 c+:966 c-:305 score:374.9473731311168 score+:4161.553971716927 score-:5886.3118881200635 nb:6 =l_0c_0 l_0c_5 l_0c_12 l_0c_19 l_0c_11 l_0c_10 
4,# 4 4 target:0 c+:94 c-:107 score:336.38767137612274 score+:379.9189296140442 score-:1523.6370122928615 nb:4 =l_0c_0 l_0c_17 l_0c_12 l_0c_4 
5,# 5 5 target:0 c+:648 c-:235 score:313.5063510798593 score+:1591.6045326841497 score-:2469.422315707756 nb:3 =l_0c_15 l_0c_13 l_0c_4 
6,# 6 6 target:0 c+:189 c-:138 score:296.0111405572716 score+:415.63626381786816 score-:1244.4674573782286 nb:3 =l_0c_15 l_0c_11 l_0c_3 
7,# 7 7 target:0 c+:343 c-:136 score:282.8695151677584 score+:1202.3756346626485 score-:2164.131986233027 nb:4 =l_0c_15 l_0c_10 l_0c_4 l_0c_1 
8,# 8 8 target:0 c+:201 c-:113 score:279.1785204083348 score+:419.2320534391523 score-:1033.424798337489 nb:2 =l_0c_18 l_0c_7 
9,# 9 9 target:0 c+:601 c-:186 score:213.1439730244697 score+:1785.5110640596452 score-:2382.3141885281602 nb:3 =l_0c_2 l_0c_16 l_0c_14 
10,# 10 0 target:1 c+:154 c-:4 score:126.6715209409051 score+:651.657068691325 score-:68.96807236316164 nb:6 =l_0c_2 l_0c_14 l_0c_10 l_0c_12 l_0c_8 l_0c_1 
11,# 11 1 target:1 c+:148 c-:9 score:114.14363860640472 score+:706.4050991119451 score-:181.34436152248333 nb:6 =l_0c_6 l_0c_15 l_0c_13 l_0c_3 l_0c_4 l_0c_12 
12,# 12 2 target:1 c+:87 c-:6 score:72.48262039744488 score+:287.6560168875795 score-:84.70467977473382 nb:3 =l_0c_18 l_0c_2 l_0c_12 
13,# 13 3 target:1 c+:49 c-:2 score:61.29809094634979 score+:342.6412637421759 score-:60.67004538896686 nb:6 =l_0c_18 l_0c_6 l_0c_17 l_0c_19 l_0c_12 l_0c_11 
14,# 14 4 target:1 c+:259 c-:48 score:58.63341163843984 score+:1064.945025491074 score-:830.4113789373146 nb:5 =l_0c_15 l_0c_14 l_0c_10 l_0c_4 l_0c_1 
15,# 15 5 target:1 c+:141 c-:3 score:43.27423748747467 score+:420.1926958590866 score-:91.30849095427916 nb:11 =l_0c_2 l_0c_16 l_0c_14 l_0c_10 l_0c_12 l_0c_7 l_0c_1 l_0c_8 l_0c_3 l_0c_13 l_0c_4 
16,# 16 6 target:1 c+:80 c-:6 score:33.35186283475343 score+:364.43163415010525 score-:170.9908297085354 nb:8 =l_0c_18 l_0c_15 l_0c_16 l_0c_13 l_0c_14 l_0c_4 l_0c_3 l_0c_12 
17,# 17 7 target:1 c+:54 c-:3 score:30.480888159504655 score+:118.92400106384979 score-:33.577514217236754 nb:3 =l_0c_17 l_0c_3 l_0c_4 
18,# 18 8 target:1 c+:138 c-:12 score:21.157576865448306 score+:269.64905795849785 score-:185.01875049670463 nb:5 =l_0c_6 l_0c_14 l_0c_3 l_0c_1 l_0c_7 
19,# 19 9 target:1 c+:24 c-:1 score:18.825741262570507 score+:107.09443851613811 score-:20.496028708313787 nb:6 =l_0c_6 l_0c_10 l_0c_13 l_0c_3 l_0c_4 l_0c_12 
20,# 20 0 target:0 c+:451 c-:283 score:1129.8213592386103 score+:1492.8382378724314 score-:3978.445228197374 nb:2 =l_1c_17 l_1c_11 
21,# 21 1 target:0 c+:700 c-:267 score:551.6534365021225 score+:1940.206797349591 score-:3153.8443576542604 nb:2 =l_1c_3 l_1c_5 
22,# 22 2 target:0 c+:582 c-:237 score:494.71067179898375 score+:2174.0386331319155 score-:4152.8813203278505 nb:5 =l_1c_0 l_1c_14 l_1c_19 l_1c_10 l_1c_18 
23,# 23 3 target:0 c+:177 c-:157 score:485.5148325225624 score+:731.3086146776072 score-:2382.0590452543197 nb:4 =l_1c_11 l_1c_14 l_1c_19 l_1c_6 
24,# 24 4 target:0 c+:23 c-:62 score:440.33859061665913 score+:141.63380485985056 score-:1638.7850129564918 nb:4 =l_1c_4 l_1c_8 l_1c_11 l_1c_15 
25,# 25 5 target:0 c+:252 c-:145 score:337.64423739789135 score+:613.2847353903401 score-:1356.102057665701 nb:2 =l_1c_3 l_1c_14 
26,# 26 6 target:0 c+:263 c-:114 score:326.31881328531045 score+:794.5722783188344 score-:1512.4736675465174 nb:2 =l_1c_7 l_1c_13 
27,# 27 7 target:0 c+:168 c-:95 score:298.30997020116854 score+:593.978832757294 score-:1429.246749320566 nb:3 =l_1c_1 l_1c_13 l_1c_10 
28,# 28 8 target:0 c+:52 c-:60 score:295.6017239297872 score+:296.6722303158902 score-:1479.079126035039 nb:5 =l_1c_17 l_1c_0 l_1c_18 l_1c_14 l_1c_5 
29,# 29 9 target:0 c+:664 c-:204 score:218.04361617434267 score+:1362.490773741286 score-:1842.1867293248397 nb:2 =l_1c_15 l_1c_19 
30,# 30 0 target:1 c+:263 c-:26 score:162.97786192830506 score+:1307.8501444882609 score-:558.1519796180576 nb:6 =l_1c_13 l_1c_0 l_1c_10 l_1c_18 l_1c_15 l_1c_19 
31,# 31 1 target:1 c+:180 c-:22 score:128.39230436109702 score+:568.2797356473392 score-:285.8166660529257 nb:2 =l_1c_1 l_1c_15 
32,# 32 2 target:1 c+:114 c-:3 score:105.35766440981985 score+:339.9411395493758 score-:44.939679201880196 nb:3 =l_1c_7 l_1c_13 l_1c_6 
33,# 33 3 target:1 c+:126 c-:6 score:91.85545567768409 score+:337.6166128338729 score-:80.42133693635742 nb:3 =l_1c_16 l_1c_15 l_1c_18 
34,# 34 4 target:1 c+:60 c-:3 score:60.198431161427585 score+:257.9082614726571 score-:53.23359552380332 nb:4 =l_1c_2 l_1c_0 l_1c_14 l_1c_6 
35,# 35 5 target:1 c+:84 c-:5 score:57.029148901725335 score+:173.070030541272 score-:47.60590295747624 nb:2 =l_1c_8 l_1c_18 
36,# 36 6 target:1 c+:52 c-:2 score:47.951913932176936 score+:200.28294141577413 score-:37.246434046372535 nb:4 =l_1c_3 l_1c_15 l_1c_5 l_1c_6 
37,# 37 7 target:1 c+:45 c-:0 score:47.37044522627369 score+:161.05951376933055 score-:0 nb:4 =l_1c_7 l_1c_1 l_1c_19 l_1c_10 
38,# 38 8 target:1 c+:36 c-:0 score:35.67176636691507 score+:142.6870654676603 score-:0 nb:5 =l_1c_13 l_1c_11 l_1c_15 l_1c_18 l_1c_10 
39,# 39 9 target:1 c+:49 c-:6 score:34.97645604738135 score+:143.82648288829174 score-:66.87827958405279 nb:2 =l_1c_11 l_1c_5 
40,# 40 0 target:0 c+:389 c-:283 score:1073.7721539458767 score+:1687.0690209431607 score-:5337.8943443591415 nb:4 =l_2c_0 l_2c_12 l_2c_15 l_2c_7 
41,# 41 1 target:0 c+:174 c-:184 score:727.2928802111666 score+:749.678662420109 score-:3658.8501832647753 nb:5 =l_2c_12 l_2c_15 l_2c_1 l_2c_5 l_2c_7 
42,# 42 2 target:0 c+:117 c-:113 score:446.23721997229234 score+:361.2642849892005 score-:1878.4708328949948 nb:4 =l_2c_0 l_2c_2 l_2c_10 l_2c_3 
43,# 43 3 target:0 c+:190 c-:163 score:409.03169399676153 score+:587.0028730164925 score-:1977.7106326054818 nb:4 =l_2c_15 l_2c_13 l_2c_7 l_2c_16 
44,# 44 4 target:0 c+:219 c-:169 score:392.1173665734997 score+:833.5517582017693 score-:2402.021224495768 nb:5 =l_2c_15 l_2c_2 l_2c_5 l_2c_10 l_2c_3 
45,# 45 5 target:0 c+:498 c-:269 score:354.41366638855396 score+:1957.5379501215489 score-:4013.1372151751616 nb:8 =l_2c_1 l_2c_5 l_2c_16 l_2c_14 l_2c_19 l_2c_11 l_2c_3 l_2c_4 
46,# 46 6 target:0 c+:145 c-:116 score:259.2730603474798 score+:489.56183981428705 score-:1526.6540812042062 nb:5 =l_2c_12 l_2c_15 l_2c_13 l_2c_14 l_2c_9 
47,# 47 7 target:0 c+:211 c-:104 score:248.675277800595 score+:554.5759749605902 score-:1250.8667528022563 nb:3 =l_2c_0 l_2c_18 l_2c_3 
48,# 48 8 target:0 c+:202 c-:131 score:218.89956191560887 score+:580.4780126607951 score-:1324.7365231738654 nb:4 =l_2c_12 l_2c_6 l_2c_5 l_2c_14 
49,# 49 9 target:0 c+:368 c-:279 score:209.0318810677103 score+:2440.01689374602 score-:3903.2400612199917 nb:10 =l_2c_0 l_2c_12 l_2c_7 l_2c_16 l_2c_14 l_2c_9 l_2c_11 l_2c_19 l_2c_3 l_2c_4 
50,# 50 0 target:1 c+:336 c-:10 score:260.7742745314245 score+:1181.6477678843157 score-:138.55066975861772 nb:5 =l_2c_18 l_2c_6 l_2c_13 l_2c_16 l_2c_19 
51,# 51 1 target:1 c+:246 c-:12 score:121.71954165319207 score+:739.9929354519563 score-:180.0830438472729 nb:6 =l_2c_17 l_2c_8 l_2c_10 l_2c_16 l_2c_19 l_2c_9 
52,# 52 2 target:1 c+:122 c-:4 score:102.71929226552297 score+:496.2001995580347 score-:85.3230304959428 nb:5 =l_2c_0 l_2c_8 l_2c_2 l_2c_6 l_2c_13 
53,# 53 3 target:1 c+:86 c-:3 score:78.68186816328208 score+:613.012996186126 score-:109.44903994112077 nb:9 =l_2c_17 l_2c_8 l_2c_12 l_2c_18 l_2c_2 l_2c_1 l_2c_6 l_2c_10 l_2c_13 
54,# 54 4 target:1 c+:249 c-:16 score:71.09241037121501 score+:427.7537999174602 score-:186.03960465532913 nb:4 =l_2c_0 l_2c_6 l_2c_16 l_2c_11 
55,# 55 5 target:1 c+:226 c-:9 score:61.34476024953652 score+:476.7501262522656 score-:157.75737295467573 nb:7 =l_2c_8 l_2c_13 l_2c_16 l_2c_14 l_2c_9 l_2c_19 l_2c_3 
56,# 56 6 target:1 c+:111 c-:7 score:49.34370129593912 score+:358.7045864962468 score-:131.7235605349269 nb:6 =l_2c_17 l_2c_18 l_2c_2 l_2c_10 l_2c_7 l_2c_9 
57,# 57 7 target:1 c+:136 c-:6 score:33.60744565582584 score+:222.73990641240266 score-:68.1456563956038 nb:6 =l_2c_18 l_2c_1 l_2c_16 l_2c_3 l_2c_9 l_2c_4 
58,# 58 8 target:1 c+:168 c-:3 score:30.413679376666952 score+:179.50908147132716 score-:39.60615633865918 nb:6 =l_2c_17 l_2c_6 l_2c_16 l_2c_14 l_2c_4 l_2c_11 
59,# 59 9 target:1 c+:83 c-:1 score:24.73408532732779 score+:152.61965631901933 score-:24.002412616914853 nb:7 =l_2c_0 l_2c_17 l_2c_2 l_2c_1 l_2c_6 l_2c_10 l_2c_5 
60,# 60 0 target:0 c+:6 c-:42 score:507.4668565246574 score+:28.269843148862176 score-:840.2168135883139 nb:1 =l_3c_8 
61,# 61 1 target:0 c+:16 c-:28 score:308.4302448653072 score+:76.74389266756909 score-:570.2322844520606 nb:1 =l_3c_4 
62,# 62 2 target:0 c+:436 c-:155 score:287.11315927657586 score+:901.7417178088466 score-:1361.122772651368 nb:1 =l_3c_5 
63,# 63 3 target:0 c+:143 c-:65 score:265.7565737111797 score+:457.237592205647 score-:882.4481101435347 nb:1 =l_3c_3 
64,# 64 4 target:0 c+:39 c-:31 score:251.08125135794947 score+:169.15321684405268 score-:570.8832190167718 nb:1 =l_3c_7 
65,# 65 5 target:0 c+:958 c-:291 score:207.45141184439376 score+:1145.642488251166 score-:1477.564747202196 nb:1 =l_3c_1 
66,# 66 6 target:0 c+:922 c-:271 score:179.549050067214 score+:1158.4653529941318 score-:1445.7438331016742 nb:1 =l_3c_2 
67,# 67 7 target:0 c+:42 c-:20 score:119.60171548883861 score+:187.26942403813874 score-:378.6321688202805 nb:1 =l_3c_11 
68,# 68 8 target:0 c+:0 c-:3 score:59.86122768065935 score+:0 score-:95.77796428905496 nb:1 =l_3c_20 
69,# 69 9 target:0 c+:6 c-:4 score:42.561166174897906 score+:37.199729719433165 score-:105.29759559926983 nb:1 =l_3c_6 
70,# 70 0 target:1 c+:17 c-:0 score:60.4697815579098 score+:96.75165049265568 score-:0 nb:1 =l_3c_10 
71,# 71 1 target:1 c+:11 c-:0 score:41.973815113931536 score+:67.15810418229046 score-:0 nb:1 =l_3c_18 
72,# 72 2 target:1 c+:15 c-:1 score:38.63212161137162 score+:86.21558847415862 score-:24.404193895964024 nb:1 =l_3c_13 
73,# 73 3 target:1 c+:7 c-:0 score:28.752463291996914 score+:46.00394126719507 score-:0 nb:1 =l_3c_21 
74,# 74 4 target:1 c+:5 c-:0 score:21.705269708942254 score+:34.72843153430761 score-:0 nb:1 =l_3c_16 
75,# 75 5 target:1 c+:3 c-:0 score:14.098590303166878 score+:22.557744485067005 score-:0 nb:1 =l_3c_15 
76,# 76 6 target:1 c+:3 c-:0 score:14.098590303166878 score+:22.557744485067005 score-:0 nb:1 =l_3c_19 
77,# 77 7 target:1 c+:3 c-:0 score:14.098590303166878 score+:22.557744485067005 score-:0 nb:1 =l_3c_23 
78,# 78 8 target:1 c+:3 c-:0 score:14.098590303166878 score+:22.557744485067005 score-:0 nb:1 =l_3c_33 
79,# 79 9 target:1 c+:2 c-:0 score:9.919757169885747 score+:15.871611471817197 score-:0 nb:1 =l_3c_27 
